n,w,scenario,p50_ms,throughput_mbps,mode,iter_idx,elapsed_s,fetches,bytes_fetched_mb,network_seconds,cache_kind,cache_hits,cache_misses
1000,104,baseline-numpy,0,0,full,0,0.015192699967883527,0,0,0,,0,0
1000,104,baseline-numpy,0,0,full,1,0.012360099935904145,0,0,0,,0,0
1000,104,baseline-numpy,0,0,approx-k=30,2,0.0043762000277638435,0,0,0,,0,0
1000,104,baseline-numpy,0,0,approx-k=30,3,0.00421840010676533,0,0,0,,0,0
1000,104,zarr-local,0.0,0,full-stream,0,0.4703886000206694,104,396.728515625,0.0,cold,0,104
1000,104,zarr-local,0.0,0,full-stream,1,0.14736820000689477,0,0.0,0.0,warm,104,0
1000,104,zarr-local,0.0,0,full-bulk,0,0.3183683999814093,104,396.728515625,0.0,cold,0,104
1000,104,zarr-local,0.0,0,full-bulk,1,0.11193090002052486,0,0.0,0.0,warm,104,0
1000,104,zarr-local,0.0,0,approx-bulk-k=30,0,0.063691999996081,208,39.7125244140625,0.0,cold,0,208
1000,104,zarr-local,0.0,0,approx-bulk-k=30,1,0.017597800004296005,0,0.0,0.0,warm,208,0
1000,104,zarr-minio_lh,0.5,10000,full-stream,0,3.272601700038649,104,396.728515625,0.3693828125,cold,0,104
1000,104,zarr-minio_lh,0.5,10000,full-stream,1,0.11708980007097125,0,0.0,0.0,warm,104,0
1000,104,zarr-minio_lh,0.5,10000,full-bulk,0,0.32048600004054606,104,396.728515625,0.3693828125,cold,0,104
1000,104,zarr-minio_lh,0.5,10000,full-bulk,1,0.0967981000430882,0,0.0,0.0,warm,104,0
1000,104,zarr-minio_lh,0.5,10000,approx-bulk-k=30,0,0.06470509991049767,208,39.7125244140625,0.13577001953124962,cold,0,208
1000,104,zarr-minio_lh,0.5,10000,approx-bulk-k=30,1,0.01501600001938641,0,0.0,0.0,warm,208,0
1000,104,zarr-aws_inreg,5.0,5000,full-stream,0,3.780474300030619,104,396.728515625,1.154765624999999,cold,0,104
1000,104,zarr-aws_inreg,5.0,5000,full-stream,1,0.11652409995440394,0,0.0,0.0,warm,104,0
1000,104,zarr-aws_inreg,5.0,5000,full-bulk,0,0.27721990004647523,104,396.728515625,1.154765624999999,cold,0,104
1000,104,zarr-aws_inreg,5.0,5000,full-bulk,1,0.09269109996967018,0,0.0,0.0,warm,104,0
1000,104,zarr-aws_inreg,5.0,5000,approx-bulk-k=30,0,0.1226680000545457,208,39.7125244140625,1.103540039062502,cold,0,208
1000,104,zarr-aws_inreg,5.0,5000,approx-bulk-k=30,1,0.014929699944332242,0,0.0,0.0,warm,208,0
1000,104,zarr-aws_xreg,80.0,500,full-stream,0,16.635975899989717,104,396.728515625,14.667656250000006,cold,0,104
1000,104,zarr-aws_xreg,80.0,500,full-stream,1,0.11711680004373193,0,0.0,0.0,warm,104,0
1000,104,zarr-aws_xreg,80.0,500,full-bulk,0,1.8192013000370935,104,396.728515625,14.667656250000006,cold,0,104
1000,104,zarr-aws_xreg,80.0,500,full-bulk,1,0.09000530000776052,0,0.0,0.0,warm,104,0
1000,104,zarr-aws_xreg,80.0,500,approx-bulk-k=30,0,2.394810999976471,208,39.7125244140625,17.275400390625048,cold,0,208
1000,104,zarr-aws_xreg,80.0,500,approx-bulk-k=30,1,0.015642300015315413,0,0.0,0.0,warm,208,0
