array,K,P,dtype,fmt,bytes_on_disk,write_ms,read_ms,read_gb_per_s
F,3000,0,float32,npy,36000128,16.894999891519547,10.740299941971898,3.351873615681393
F,3000,0,float32,arrow_ipc,36000648,18.657400039955974,24.076800094917417,1.4952422189857237
F,3000,0,float32,parquet,50309272,489.0875001437962,131.11439999192953,0.38370516131787724
X,3000,500,float32,npy,6000128,1.4522999990731478,1.5821000561118126,3.7925085564727077
X,3000,500,float32,arrow_ipc,6000648,1.9193000625818968,4.217500099912286,1.4227973581138265
X,3000,500,float32,parquet,8385012,81.84850006364286,16.394400037825108,0.5114558617975727
F,3000,0,float64,npy,72000128,39.681600173935294,22.4993999581784,3.2000910305978345
F,3000,0,float64,arrow_ipc,72000648,43.82120002992451,61.34689995087683,1.1736640002616938
F,3000,0,float64,parquet,86409152,532.9005001112819,145.90410003438592,0.5922325142311665
X,3000,500,float64,npy,12000128,3.442200133576989,3.3883999567478895,3.5415323318317635
X,3000,500,float64,arrow_ipc,12000648,3.8978999946266413,7.549300091341138,1.5896371656710864
X,3000,500,float64,parquet,14401650,85.92010010033846,20.399700151756406,0.7059736120072345
